image_id,x_min,y_min,x_max,y_max,color,position,texture,lighting,description
ISIC_0024334,128,57,404,450,light,middle-center,bumpy,under dim light,"A bumpy lesion with light tone is seen around the middle-center, under dim light."
ISIC_0024386,0,0,600,450,light,middle-center,scaly,under bright light,"Located near the middle-center, a light scaly lesion is seen, under bright light."
ISIC_0024392,140,125,426,441,brownish,middle-center,scaly,slightly shadowed,"A scaly and brownish lesion is observed at the middle-center, slightly shadowed."
ISIC_0024398,251,204,382,349,brownish,middle-center,irregular,under bright light,"A brownish irregular spot positioned at the middle-center, under bright light."
ISIC_0024406,200,132,408,315,light,middle-center,flat,under bright light,"A light lesion located at the middle-center, with flat texture and under bright light."
ISIC_0024445,177,0,600,292,light,top-center,irregular,moderately lit,"A irregular lesion appears at the top-center, exhibiting light pigmentation, moderately lit."
ISIC_0024450,518,299,600,450,brownish,bottom-right,smooth,moderately lit,"The lesion, brownish and smooth, is located toward the bottom-right, moderately lit."
ISIC_0024452,244,122,474,355,light,middle-center,rough,slightly shadowed,"A light, rough patch is visible near the middle-center, slightly shadowed."
ISIC_0024455,296,66,424,237,light,middle-center,bumpy,under dim light,"The middle-center region contains a light bumpy pigmentation, under dim light."
ISIC_0024460,177,21,341,360,brownish,middle-center,bumpy,under dim light,"A brownish, bumpy patch is visible near the middle-center, under dim light."
ISIC_0024488,102,153,337,402,light,middle-center,irregular,slightly shadowed,"At the middle-center of the image lies a irregular, light lesion, slightly shadowed."
ISIC_0024521,216,48,438,276,brownish,middle-center,scaly,in natural lighting,"An brownish scaly lesion located at the middle-center, in natural lighting."
ISIC_0024538,0,0,600,411,light,middle-center,grainy,under dim light,"A light lesion with grainy surface appears at the middle-center, under dim light."
ISIC_0024542,249,75,353,202,light,top-center,scaly,well illuminated,"A light scaly spot positioned at the top-center, well illuminated."
ISIC_0024544,49,18,460,450,light,middle-center,rough,under dim light,"A rough lesion with light tone is seen around the middle-center, under dim light."
ISIC_0024556,124,10,299,200,light,top-center,rough,moderately lit,"The lesion, light and rough, is located toward the top-center, moderately lit."
ISIC_0024570,98,46,493,366,light,middle-center,irregular,under bright light,"A irregular and light lesion is observed at the middle-center, under bright light."
ISIC_0024572,162,125,386,417,light,middle-center,irregular,under dim light,"A light growth at the middle-center area, appearing irregular and under dim light."
ISIC_0024580,127,139,288,381,brownish,middle-center,scaly,well illuminated,"Located near the middle-center, a brownish scaly lesion is seen, well illuminated."
ISIC_0024602,0,349,600,450,brownish,bottom-center,bumpy,in natural lighting,"The bottom-center area reveals a bumpy brownish patch, in natural lighting."
ISIC_0024614,158,176,478,396,light,middle-center,scaly,slightly shadowed,"The middle-center area reveals a scaly light patch, slightly shadowed."
ISIC_0024621,0,0,600,450,light,middle-center,bumpy,in natural lighting,"The middle-center region displays a bumpy, light mark, in natural lighting."
ISIC_0024633,227,104,390,302,brownish,middle-center,flat,in natural lighting,"The middle-center region contains a brownish flat pigmentation, in natural lighting."
ISIC_0024635,503,0,600,139,brownish,top-right,smooth,under dim light,"A smooth lesion appears at the top-right, exhibiting brownish pigmentation, under dim light."
ISIC_0024678,305,151,520,323,brownish,middle-right,irregular,slightly shadowed,"A brownish irregularly shaped lesion appears at the middle-right, slightly shadowed."
ISIC_0024699,177,73,440,390,brownish,middle-center,irregular,under dim light,"A brownish, irregular patch is visible near the middle-center, under dim light."
ISIC_0024701,82,87,464,411,light,middle-center,scaly,under dim light,A scaly light lesion around the middle-center under under dim light.
